マイカー点検教室,児菫遊園地,0,34.76842,137.396302,体験,愛知県自動車整備振興会 豊橋支部会員が自動車の点検教室を実施します。整備のプロが実際の車を使って日常の点検方法を教えます。午前の部 ・ 午後の部の2回、先着順に整理券を配ります。点検教室参加者は、豪華景品の あたるお楽しみ抽選会に参加できます。,2019-10-20 10:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d9166561270d.jpg
TOYOHASHI FIGHT FES 2019,児菫遊園地,0,34.768301,137.397311,見る,アマチュアキックボクシング＆アマチュアシュー トボクシング大会です。 普段あまり目にすることのない格闘技の試合を、生で無料にてお楽しみ いただけます。キッズからおやじフ ァイトまで肩空の下で繰り広げられる熱き戦いをどうぞこ覧あれ！,2019-10-20 9:00:00,2019-10-20 17:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d916a4d8d90e.jpg
わいわい消防広場※,市庁舎前広場,0,34.769015,137.391515,体験,"●消防作品表彰式(19日午前）
●消防音楽隊とホワイトシ ガルズ演奏・演技（20日13:00）
●ポウサイマンZショー(20日13:30)
●防火キーホルダー作成コーナー
●応急手当普及啓発コーナー
●起震車乗車体験コーナー
●住宅用火災報知器等展示コーナー",2019-10-20 10:00:00,2019-10-20 16:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d915aedc343f.jpg
親子三世代で楽しもう！「つくる•あそぶコーナー」※,市庁舎,0,34.76912,137.391096,体験,いろいろな形の木切れを組み合わせて 作品を作ります。また、毎年恒例の「造パラ帽子」の作成コーナーもあります。参加費は無料です。親子で楽しみながら「つくって」「あそんで」ください。,2019-10-20 10:00:00,2019-10-20 15:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d92c3741e2dd.png
三遠南信中学生交流「ふるさとスケッチ交流展」※,市庁舎,0,34.76912,137.391096,見る,交流会に参加した豊橋・浜松・飯田市の中学生が「私のふるさと自慢」をテーマに、自由にスケッチを描きました。それぞれの「ふるさと」を味わいながら、ご覧ください。,2019-10-20 10:00:00,2019-10-20 15:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d92c37c818eb.png
明るい暮らしの消費者展※／マイナンバーカードを作ろう,市庁舎,0,34.76912,137.391096,見る,_,2019-10-20 10:00:00,2019-10-20 16:00:00,http://www.city.toyohashi.lg.jp/Images/logo.png
60周年記念豊橋まつりクイーン衣装展※,市庁舎,0,34.76912,137.391096,見る,_,2019-10-20 10:00:00,2019-10-20 16:00:00,http://www.city.toyohashi.lg.jp/Images/logo.png
豊橋歌謡選手権大会,公会堂,0,34.768098,137.392223,見る,令和になって歌謡選手権をリニューアル。やしの実FMとティーズの共催で、更に熱い大会になります。初代チャンピオンの栄冠は誰に！？,2019-10-20 9:30:00,2019-10-20 17:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d91601a2eef5.jpg
甲冑を着てパシャ！記念撮影とビンゴ大会※,吉田城鉄櫓（豊橋公園内）,0,34.770156,137.39313,体験,"吉田城鉄櫓の前でお子様用甲冑を着て写真が撮れます。ピンゴ大会では、ピンゴになった方に景品を差し上げます！（人数制限）
◎甲冑記念撮影：10:30～15:00 ※ピンゴ大会開催時を除く
◎ビンゴ大会：10:00～10:30/ 13:00～13:30",2019-10-20 10:00:00,2019-10-20 15:00:00,https://toyohashimatsuri.jp/uploadimg/t_5d91596255fe7.jpg
東京2020オリンピック・パラリンピック競技体験イベント※,陸上競技場,0,34.769047,137.398986,体験,東京2020大会の競技を体験しよう！,2019-10-20 9:30:00,2019-10-20 17:00:00,https://toyohashimatsuri.jp/images/top/pickup1png.png
